# 東雲カイ#a50 の不満9軸の推移（1分1点）
# T+ | 空腹 睡眠 安全 居住 退屈 停滞 不公平 孤独 過密 | pos
T+03:07:23 |  42   1   1   1  66  86   0   0  53 | [767, 60, 203]
T+03:08:24 |  42   1   1   1  71  88   0   0  48 | [767, 59, 191]
T+03:09:23 |  42   1   1   1  76  91   0   0  49 | [769, 60, 193]
T+03:10:23 |  42  65   1  17  79  92   0   0  48 | [769, 60, 193]
T+03:11:23 |  42  69   1  17  82  93   0   0  42 | [766, 60, 198]
T+03:12:23 |  47  69   1  17  87  95   0   0  43 | [767, 60, 206]
T+03:13:23 |  47  69   1  17  88  96   0   0  46 | [772, 60, 193]
T+03:14:23 |  47  69   1  17  90  97   0   0  49 | [774, 60, 193]
T+03:15:23 |  47  69   1  82  92  97   0   0  48 | [763, 60, 197]
T+03:16:24 |  47  69   1  84  93  98   0   0  48 | [770, 60, 193]
T+03:17:23 |  47  69   1  84  94  98   0   0  50 | [765, 59, 193]
T+03:18:23 |  52  15   1  35  95  99   0   0  36 | [766, 59, 192]
T+03:19:24 |  52   1   1  23  11  13   0   0  52 | [766, 59, 192]
T+03:20:23 |  52   1   1  23  36  39   0   0  54 | [766, 60, 198]
T+03:21:23 |  52   1   1  23   2  60   0   0  46 | [767, 60, 207]
T+03:22:23 |  52   1   1  23  33  74   0   0  44 | [766, 60, 198]
T+03:23:23 |  52   1   1  23  41  77   0   0  48 | [769, 60, 193]
T+03:24:24 |  52   1   1  23  47  80   0   0  49 | [768, 60, 192]
T+03:25:23 |  19   1   1  23  11  83   0   0  41 | [768, 60, 192]
T+03:26:23 |   6   1   1  23  24  86   0   0  26 | [807, 68, 165]
T+03:27:23 |   6   1   1  23  34  88   0   0  31 | [769, 60, 193]
T+03:28:23 |   6   1   1  23  43  90   0   0  36 | [774, 60, 193]
T+03:29:24 |   6   1   1  23  53  92   0   0  42 | [768, 61, 193]
T+03:30:23 |   6  68   1  83  62  94   0   0  44 | [774, 63, 187]
T+03:31:23 |   6  69   1  26  69  95   0   0   0 | [803, 67, 165]
T+03:32:24 |   6  69   1  19  74  96   0   0   0 | [801, 65, 167]
T+03:33:24 |   6  69   1  19  11  13   0   0   0 | [779, 64, 187]
T+03:34:23 |   6  69   1  19  27  30   0   0   0 | [786, 65, 179]
T+03:35:23 |   6  69   1  19   8  42   0   0   0 | [786, 66, 180]
T+03:36:24 |   6  69   2  19  23  53   0   0   0 | [782, 64, 194]
T+03:37:23 |   6  69   1  19  11  62   0   0   0 | [768, 61, 189]
T+03:38:24 |   6  15   1   4  26  69   0   0   0 | [792, 65, 179]
T+03:39:23 |   6   1   1   1  37  74   0   0   0 | [782, 63, 191]
T+03:40:23 |   6   1   1   1  47  79   0   0   0 | [768, 61, 194]
T+03:41:24 |   6   1   1   1  58  84   0   0   0 | [814, 62, 144]
T+03:42:23 |   6   1   1   1  69  88   0   0   0 | [805, 68, 170]
