# name events 5954  kinds={'coin': 249, 'hear': 2977, 'say': 2728}

# label | 命名者(初) | 初出T+ | 聞いた人数 | 伝達回数(say) | グリッド
T+02:05:14 | say | 風間カイトトウマ#101 | この作業エリア | grid=12,3 | frm=
T+02:05:16 | say | 大川タケル#e00 | 南側の石切り場 | grid=12,3 | frm=
T+02:05:17 | say | 林ソラ#017 | 南の石切り場 | grid=11,3 | frm=
T+02:05:18 | say | 小柳ジン#080 | 南の未踏の地 | grid=11,2 | frm=
T+02:05:19 | say | 大川イオ#5c4 | 広場の北側 | grid=11,3 | frm=
T+02:05:20 | say | 小柳イオ#e51 | 南側一帯 | grid=11,2 | frm=
T+02:05:23 | say | 小柳ジン#080 | 南の未踏の地 | grid=11,2 | frm=
T+02:05:23 | say | 大川イオ#5c4 | 広場の北側 | grid=11,3 | frm=
T+02:05:25 | say | 小柳イオ#e51 | 南側一帯 | grid=11,2 | frm=
T+02:05:41 | say | 林ソラ#017 | 南側の石切り場 | grid=12,3 | frm=
T+02:05:44 | say | 東雲カイ#a50 | 西側一帯 | grid=11,3 | frm=
T+02:05:44 | say | 大川タケル#e00 | 南側の石切り場 | grid=12,3 | frm=
T+02:05:46 | say | 林ソラ#017 | 南側の石切り場 | grid=12,3 | frm=
T+02:05:46 | say | 大川タケル#f91 | 西の露天掘り場 | grid=12,3 | frm=
T+02:05:48 | coin | 大川タケル#e00 | 南側の石切り場 | grid=11,3 | frm=
T+02:05:48 | say | 東雲カイ#a50 | 西側一帯 | grid=11,3 | frm=
T+02:05:50 | coin | 大川タケル#f91 | 北東採石場 | grid=12,3 | frm=
T+02:05:51 | say | 風間カイトトウマ#101 | 西側エリア | grid=11,3 | frm=
T+02:05:53 | say | 小柳ジン#080 | 南の未踏の地 | grid=11,3 | frm=
T+02:05:53 | say | 小柳イオ#e51 | 南側一帯 | grid=12,3 | frm=
T+02:05:55 | say | 風間カイトトウマ#101 | 西側エリア | grid=11,3 | frm=
T+02:05:57 | say | 小柳ジン#080 | 南の未踏の地 | grid=11,3 | frm=
T+02:05:58 | coin | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:05:59 | say | 谷口アル#a65 | 南側の石切り場 | grid=11,3 | frm=
T+02:06:01 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+02:06:04 | say | 大川イオ#5c4 | 広場の北側 | grid=11,3 | frm=
T+02:06:07 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+02:06:07 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,3 | frm=
T+02:06:09 | say | 大川イオ#5c4 | 広場の北側 | grid=11,3 | frm=
T+02:06:09 | say | 大川タケル#e00 | 南側の石切り場 | grid=11,3 | frm=
T+02:06:12 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,3 | frm=
T+02:06:14 | say | 大川タケル#e00 | 南側の石切り場 | grid=11,3 | frm=
T+02:06:17 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:06:19 | say | 東雲カイ#a50 | 北側 | grid=12,3 | frm=
T+02:06:21 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:06:22 | say | 小柳ジン#080 | 広場の北側 | grid=12,3 | frm=
T+02:06:24 | say | 林ソラ#017 | 南の石切り場 | grid=11,3 | frm=
T+02:06:24 | say | 東雲カイ#a50 | 北側 | grid=12,3 | frm=
T+02:06:26 | coin | 小柳ジン#080 | 南の未踏地 | grid=12,3 | frm=
T+02:06:28 | say | 林ソラ#017 | 南の石切り場 | grid=11,3 | frm=
T+02:06:31 | say | 大川オト#72a | この作業エリア | grid=12,3 | frm=
T+02:06:33 | say | 谷口アル#a65 | 南側の石切り場 | grid=12,3 | frm=
T+02:06:38 | say | 谷口アル#a65 | 南側の石切り場 | grid=12,3 | frm=
T+02:06:42 | say | 大川イオ#5c4 | 広場の北側 | grid=11,3 | frm=
T+02:06:44 | coin | 東雲カイ#a50 | 北側 | grid=11,3 | frm=
T+02:06:46 | coin | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:06:49 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,3 | frm=
T+02:06:50 | say | 小柳ジン#080 | 南の未踏の地 | grid=11,3 | frm=
T+02:06:51 | say | 林ソラ#017 | 南の石切り場 | grid=11,3 | frm=
T+02:06:53 | say | 西森ミオ#781 | 近くの森 | grid=11,3 | frm=
T+02:06:55 | say | 小柳ジン#080 | 南の未踏の地 | grid=11,3 | frm=
T+02:06:57 | coin | 西森ミオ#781 | 南の未踏地 | grid=11,3 | frm=
T+02:07:02 | say | 真砂コウ#124 | 南側の採石場 | grid=11,2 | frm=
T+02:07:04 | say | 大川オト#72a | この作業エリア | grid=11,2 | frm=
T+02:07:06 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:07:06 | say | 真砂コウ#124 | 南側の採石場 | grid=11,2 | frm=
T+02:07:09 | say | 大川オト#72a | この作業エリア | grid=11,2 | frm=
T+02:07:09 | coin | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:07:12 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:07:12 | coin | 小柳イオ#e51 | 北側一帯 | grid=11,3 | frm=
T+02:07:14 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:07:16 | say | 小柳イオ#e51 | 北側一帯 | grid=11,3 | frm=
T+02:07:26 | say | 西森ミオ#781 | 南の未踏地 | grid=11,3 | frm=
T+02:07:29 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+02:07:31 | say | 西森ミオ#781 | 南の未踏地 | grid=11,3 | frm=
T+02:07:33 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+02:07:34 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:07:36 | say | 大川タケル#f91 | 北東採石場 | grid=12,3 | frm=
T+02:07:39 | coin | 大川タケル#e00 | 南方の未踏地 | grid=12,3 | frm=
T+02:07:41 | say | 大川タケル#f91 | 北東採石場 | grid=12,3 | frm=
T+02:07:42 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:07:47 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:07:49 | coin | 林ソラ#017 | 北側未踏地 | grid=11,3 | frm=
T+02:07:54 | coin | 東雲カイ#a50 | 北側の未踏地 | grid=12,3 | frm=
T+02:07:55 | say | 風間カイトトウマ#101 | 西の露天掘り場 | grid=11,2 | frm=
T+02:07:56 | coin | 西森ミオ#781 | 南西の未踏地 | grid=12,3 | frm=
T+02:07:57 | say | 小柳イオ#e51 | 南側一帯 | grid=11,2 | frm=
T+02:07:58 | say | 東雲カイ#a50 | 北側の未踏地 | grid=12,3 | frm=
T+02:07:59 | say | 風間カイトトウマ#101 | 西の露天掘り場 | grid=11,2 | frm=
T+02:08:01 | say | 西森ミオ#781 | 南西の未踏地 | grid=12,3 | frm=
T+02:08:02 | coin | 小柳イオ#e51 | 北側の未踏地 | grid=11,2 | frm=
T+02:08:19 | say | 風間の子#38f | 西の露天掘り場 | grid=11,2 | frm=
T+02:08:22 | say | 小柳ナギ#9e9 | 西側エリア | grid=11,2 | frm=
T+02:08:24 | say | 風間の子#38f | 西の露天掘り場 | grid=11,2 | frm=
T+02:08:24 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:08:27 | say | 小柳ナギ#9e9 | 西側エリア | grid=11,2 | frm=
T+02:08:27 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+02:08:29 | say | 小柳イオ#e51 | 北側の未踏地 | grid=11,2 | frm=
T+02:08:29 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:08:31 | say | 大川タケル#f91 | 北東採石場 | grid=12,3 | frm=
T+02:08:31 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+02:08:33 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:08:34 | say | 石川ナギ#6c2 | 西の採石場 | grid=11,3 | frm=
T+02:08:36 | say | 大川タケル#f91 | 北東採石場 | grid=12,3 | frm=
T+02:08:36 | coin | 西森ミオ#781 | 南の未踏地 | grid=12,3 | frm=
T+02:08:39 | say | 石川ナギ#6c2 | 西の採石場 | grid=11,3 | frm=
T+02:08:41 | say | 西森ミオ#781 | 南の未踏地 | grid=12,3 | frm=
T+02:08:47 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+02:08:48 | coin | 小柳ジン#080 | 南の未踏地 | grid=11,3 | frm=
T+02:08:50 | say | 林ソラ#017 | 北側未踏地 | grid=11,3 | frm=
T+02:08:51 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,2 | frm=
T+02:08:52 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+02:08:53 | say | 小柳ジン#080 | 南の未踏地 | grid=12,3 | frm=
T+02:08:54 | say | 林ソラ#017 | 北側未踏地 | grid=11,3 | frm=
T+02:08:55 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,2 | frm=
T+02:08:56 | say | 風間カイトトウマ#101 | 西側エリア | grid=11,3 | frm=
T+02:09:01 | say | 風間カイトトウマ#101 | この作業エリア | grid=12,3 | frm=
T+02:09:04 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:09:06 | say | 石川ナギ#6c2 | 西の採石場 | grid=11,3 | frm=
T+02:09:09 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:09:13 | say | 大川タケル#f91 | 北東採石場 | grid=12,3 | frm=
T+02:09:16 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+02:09:17 | say | 小柳ジン#080 | 南の未踏地 | grid=11,3 | frm=
T+02:09:18 | coin | 大川タケル#f91 | 北東採石場 | grid=11,3 | frm=
T+02:09:19 | say | 林ソラ#017 | 北側未踏地 | grid=11,3 | frm=
T+02:09:21 | say | 小柳ジン#080 | 南の未踏地 | grid=11,3 | frm=
T+02:09:23 | coin | 林ソラ#017 | 北東の未踏地 | grid=11,3 | frm=
T+02:09:32 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:09:36 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:09:37 | say | 石川ナギ#6c2 | 西側エリア | grid=12,3 | frm=
T+02:09:41 | coin | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:09:43 | coin | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:09:46 | say | 林ソラ#017 | 北東の未踏地 | grid=11,3 | frm=
T+02:09:49 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,3 | frm=
T+02:09:51 | say | 林ソラ#017 | 北東の未踏地 | grid=11,3 | frm=
T+02:09:55 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,3 | frm=
T+02:10:00 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:10:03 | say | 小柳イオ#e51 | 北側一帯 | grid=11,3 | frm=
T+02:10:05 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:10:05 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:10:08 | say | 小柳ジン#080 | 南の未踏地 | grid=11,3 | frm=
T+02:10:08 | say | 小柳イオ#e51 | 北側一帯 | grid=11,3 | frm=
T+02:10:10 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:10:10 | say | 真砂コウ#124 | 西の露天掘り場 | grid=11,3 | frm=
T+02:10:12 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:10:17 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:10:37 | say | 小柳ジン#080 | 南の未踏地 | grid=11,3 | frm=
T+02:10:39 | say | 小柳イオ#e51 | 北側一帯 | grid=11,3 | frm=
T+02:10:42 | say | 榎本ソラ#3f3 | 西の露天掘り場 | grid=11,3 | frm=
T+02:10:43 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:10:44 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:10:46 | say | 榎本ソラ#3f3 | 西の露天掘り場 | grid=11,3 | frm=
T+02:10:47 | say | 真砂コウ#124 | 西の露天掘り場 | grid=12,3 | frm=
T+02:10:48 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:10:49 | say | 西森ミオ#781 | 南側の採石場 | grid=11,2 | frm=
T+02:10:52 | say | 真砂コウ#124 | 西の露天掘り場 | grid=11,3 | frm=
T+02:11:11 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+02:11:14 | say | 小柳イオ#e51 | 北側一帯 | grid=11,3 | frm=
T+02:11:16 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+02:11:17 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:11:18 | say | 小柳イオ#e51 | 北側一帯 | grid=11,3 | frm=
T+02:11:19 | say | 西森ミオ#781 | 南側の採石場 | grid=11,2 | frm=
T+02:11:21 | coin | 真砂コウ#124 | 西の露天掘り場 | grid=11,2 | frm=
T+02:11:23 | say | 小柳ジン#080 | 南の未踏地 | grid=11,3 | frm=
T+02:11:25 | say | 真砂コウ#124 | 西の露天掘り場 | grid=11,2 | frm=
T+02:11:28 | say | 小柳ジン#080 | 南の未踏地 | grid=11,3 | frm=
T+02:11:34 | say | 大川タケル#e00 | 南方の未踏地 | grid=12,3 | frm=
T+02:11:37 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:11:39 | say | 大川タケル#e00 | 南方の未踏地 | grid=12,3 | frm=
T+02:11:39 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:11:42 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:11:44 | say | 風間カイトトウマ#101 | この作業エリア | grid=12,3 | frm=
T+02:11:44 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:11:46 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,2 | frm=
T+02:11:49 | say | 風間カイトトウマ#101 | この作業エリア | grid=12,3 | frm=
T+02:11:50 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:12:02 | say | 榎本ソラ#3f3 | 西の露天掘り場 | grid=11,3 | frm=
T+02:12:02 | say | 大川オト#72a | この作業エリア | grid=11,2 | frm=
T+02:12:04 | say | 小柳イオ#e51 | 北側一帯 | grid=11,3 | frm=
T+02:12:04 | say | 大川タケル#e00 | 南方の未踏地 | grid=12,3 | frm=
T+02:12:07 | say | 大川オト#72a | この作業エリア | grid=11,2 | frm=
T+02:12:08 | say | 小柳イオ#e51 | 北側一帯 | grid=11,3 | frm=
T+02:12:10 | say | 大川タケル#e00 | 南方の未踏地 | grid=12,3 | frm=
T+02:12:11 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:12:12 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:12:13 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:12:14 | say | 小柳ナギ#9e9 | 西側エリア | grid=11,3 | frm=
T+02:12:15 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:12:17 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:12:17 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:12:19 | say | 小柳ナギ#9e9 | 西側エリア | grid=11,3 | frm=
T+02:12:31 | say | 榎本ソラ#3f3 | 西の露天掘り場 | grid=11,3 | frm=
T+02:12:34 | say | 榎本アキ#01c | 西の森 | grid=12,3 | frm=
T+02:12:34 | say | 大川タケル#e00 | 採石場 | grid=11,2 | frm=
T+02:12:36 | say | 大川タケル#f91 | 北東採石場 | grid=12,3 | frm=
T+02:12:36 | say | 榎本ソラ#3f3 | 西の露天掘り場 | grid=11,3 | frm=
T+02:12:38 | say | 榎本アキ#01c | 西の森 | grid=12,3 | frm=
T+02:12:39 | coin | 大川タケル#e00 | 採石場 | grid=12,3 | frm=
T+02:12:41 | say | 大川タケル#f91 | 北東採石場 | grid=12,3 | frm=
T+02:12:42 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:12:45 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:12:47 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:12:49 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:13:08 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:13:10 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:13:14 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:13:16 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:13:22 | say | 榎本アキ#01c | 西の森 | grid=12,3 | frm=
T+02:13:24 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:13:26 | say | 榎本アキ#01c | 西の森 | grid=12,3 | frm=
T+02:13:27 | say | 榎本ソラ#3f3 | 南側の森 | grid=11,2 | frm=
T+02:13:29 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:13:29 | say | 小柳ハル#dea | 西側エリア | grid=11,2 | frm=
T+02:13:31 | say | 榎本ソラ#3f3 | 南側の森 | grid=11,2 | frm=
T+02:13:33 | say | 小柳ハル#dea | 西側エリア | grid=11,2 | frm=
T+02:13:57 | say | 小柳ナギ#9e9 | 南側採石場 | grid=12,3 | frm=
T+02:13:59 | say | 谷口アル#a65 | 南側の石切り場 | grid=11,3 | frm=
T+02:13:59 | say | 榎本アキ#01c | 西の森 | grid=12,3 | frm=
T+02:14:27 | say | 石川ナギ#6c2 | 西側エリア | grid=12,3 | frm=
T+02:14:30 | say | 小柳ナギ#9e9 | 西側エリア | grid=11,3 | frm=
T+02:14:32 | say | 石川ナギ#6c2 | 西側エリア | grid=12,3 | frm=
T+02:14:35 | say | 小柳ナギ#9e9 | 西側エリア | grid=11,3 | frm=
T+02:14:36 | say | 谷口アル#a65 | 南側の石切り場 | grid=12,3 | frm=
T+02:14:38 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:14:40 | say | 谷口アル#a65 | 南側の石切り場 | grid=11,3 | frm=
T+02:14:42 | say | 大川イオ#5c4 | 北側 | grid=11,3 | frm=
T+02:14:43 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:14:44 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:14:49 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:15:11 | say | 榎本ソラ#3f3 | 南側の森 | grid=11,2 | frm=
T+02:15:14 | say | 小柳イオ#e51 | 北側の未踏地 | grid=11,2 | frm=
T+02:15:16 | say | 榎本ソラ#3f3 | 南側の森 | grid=11,2 | frm=
T+02:15:19 | say | 小柳イオ#e51 | 北側の未踏地 | grid=11,2 | frm=
T+02:15:28 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:15:30 | say | 大川タケル#f91 | 北東採石場 | grid=12,2 | frm=
T+02:15:33 | say | 南田ボブ#4f3 | 南側の採石場 | grid=12,2 | frm=
T+02:15:35 | say | 大川タケル#f91 | 北東採石場 | grid=12,2 | frm=
T+02:15:39 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:15:42 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:15:46 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:15:52 | say | 石川ナギ#6c2 | 西側エリア | grid=12,3 | frm=
T+02:15:54 | say | 谷口アル#a65 | 南側の石切り場 | grid=12,3 | frm=
T+02:15:57 | say | 石川ナギ#6c2 | 西側エリア | grid=12,3 | frm=
T+02:16:19 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:16:22 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:16:24 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:16:24 | say | 大川タケル#e00 | 南方の未踏地 | grid=11,3 | frm=
T+02:16:26 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:16:27 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:16:29 | say | 風間の子#38f | 西の露天掘り場 | grid=11,2 | frm=
T+02:16:56 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:17:18 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:17:19 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:17:20 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,2 | frm=
T+02:17:23 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:17:25 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,2 | frm=
T+02:17:25 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+02:17:27 | say | 谷口アル#a65 | 南側の石切り場 | grid=11,3 | frm=
T+02:17:29 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:17:56 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+02:17:58 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:18:03 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:18:16 | say | 風間ダイ#f7c | 南西の採石場 | grid=12,2 | frm=
T+02:18:19 | say | 榎本ソラ#3f3 | 南側の石切り場 | grid=12,2 | frm=
T+02:18:29 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:18:31 | say | 谷口アル#a65 | 南側の石切り場 | grid=12,3 | frm=
T+02:18:34 | say | 榎本アキ#01c | 北東採石場 | grid=12,2 | frm=
T+02:18:37 | say | 東雲カイ#a50 | 西の露天掘り場 | grid=12,2 | frm=
T+02:18:39 | say | 榎本アキ#01c | 北東採石場 | grid=12,2 | frm=
T+02:18:41 | say | 東雲カイ#a50 | 西の露天掘り場 | grid=12,2 | frm=
T+02:18:57 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:18:59 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:19:01 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:19:04 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:19:07 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:19:10 | say | 小柳ハル#dea | 西側エリア | grid=11,2 | frm=
T+02:19:12 | say | 石川ナギ#6c2 | 西側エリア | grid=11,3 | frm=
T+02:19:14 | say | 小柳ハル#dea | 西側エリア | grid=11,2 | frm=
T+02:19:27 | say | 林ソラ#017 | 北東の未踏地 | grid=11,3 | frm=
T+02:19:29 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:19:31 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:19:32 | say | 林ソラ#017 | 南側の石切り場 | grid=12,3 | frm=
T+02:19:34 | say | 谷口アル#a65 | 南側の石切り場 | grid=11,3 | frm=
T+02:19:34 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:19:35 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:19:38 | say | 谷口アル#a65 | 南側の石切り場 | grid=11,3 | frm=
T+02:20:09 | say | 榎本アキ#01c | 北東採石場 | grid=12,2 | frm=
T+02:20:11 | say | 浜田イオ#796 | 南側の採石場 | grid=12,2 | frm=
T+02:20:14 | say | 榎本アキ#01c | 北東採石場 | grid=12,2 | frm=
T+02:20:16 | say | 浜田イオ#796 | 南側の採石場 | grid=12,2 | frm=
T+02:20:29 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:20:29 | say | 風間の子#38f | 西の露天掘り場 | grid=12,3 | frm=
T+02:20:32 | say | 谷口アル#a65 | 南側の石切り場 | grid=12,3 | frm=
T+02:20:33 | say | 小柳ハル#dea | 西側一帯 | grid=11,3 | frm=
T+02:20:34 | say | 風間の子#38f | 西の露天掘り場 | grid=12,3 | frm=
T+02:20:35 | say | 大川オト#72a | この作業エリア | grid=11,2 | frm=
T+02:20:36 | say | 谷口アル#a65 | 南側の石切り場 | grid=12,3 | frm=
T+02:20:37 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:20:40 | say | 大川オト#72a | この作業エリア | grid=11,2 | frm=
T+02:20:42 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:20:52 | say | 石川ナギ#6c2 | 西側エリア | grid=12,3 | frm=
T+02:20:54 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:20:56 | say | 石川ナギ#6c2 | 西側エリア | grid=12,3 | frm=
T+02:20:58 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:20:59 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:21:01 | say | 林ソラ#017 | 北東の未踏地 | grid=11,3 | frm=
T+02:21:04 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:21:06 | say | 林ソラ#017 | 北東の未踏地 | grid=11,3 | frm=
T+02:21:29 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:21:31 | say | 桜井ボブ#482 | 拠点 | grid=11,3 | frm=
T+02:21:34 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:22:02 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:22:05 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:22:07 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:22:09 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:22:27 | say | 浜田イオ#796 | 南側の採石場 | grid=12,2 | frm=
T+02:22:29 | say | 大川タケル#e00 | 南側の石切り場 | grid=12,2 | frm=
T+02:22:31 | coin | 浜田イオ#796 | 南側の石切り場 | grid=12,2 | frm=
T+02:22:32 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:22:34 | say | 大川タケル#e00 | 南側の石切り場 | grid=12,2 | frm=
T+02:22:34 | say | 桜井ボブ#482 | 南側の石切り場 | grid=12,3 | frm=
T+02:22:36 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:22:36 | say | 小柳イオ#e51 | 北側一帯 | grid=12,3 | frm=
T+02:22:38 | say | 桜井ボブ#482 | 南側の石切り場 | grid=12,3 | frm=
T+02:22:38 | say | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+02:22:41 | say | 風間の子#38f | 西の露天掘り場 | grid=11,3 | frm=
T+02:22:43 | say | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+02:22:47 | coin | 林ソラ#017 | 採石場 | grid=11,3 | frm=
T+02:22:52 | say | 林ソラ#017 | 採石場 | grid=11,3 | frm=
T+02:22:56 | say | 谷口アル#a65 | 南側の石切り場 | grid=12,3 | frm=
T+02:22:58 | say | 南田ボブ#4f3 | 南側一帯 | grid=11,2 | frm=
T+02:23:02 | say | 南田ボブ#4f3 | 南側一帯 | grid=12,3 | frm=
T+02:23:10 | say | 風間ダイ#f7c | 西側一帯 | grid=12,3 | frm=
T+02:23:12 | say | 風間の子#38f | 西の露天掘り場 | grid=11,2 | frm=
